Date,Month,Location_ID,Temperature_C,Humidity_%,Air_Quality_MQ135_raw
2024-02-01,February,Room_1,29.95,53.75,2573.38
2024-02-02,February,Room_1,29.76,54.98,2572.62
2024-02-03,February,Room_1,30.45,53.95,2597.33
2024-02-04,February,Room_1,29.97,53.67,2594.29
2024-02-05,February,Room_1,30.11,54.5,2601.33
2024-02-06,February,Room_1,31.13,53.41,2586.67
2024-02-07,February,Room_1,30.8,52.54,2585.0
2024-02-08,February,Room_1,30.83,53.44,2594.25
2024-02-09,February,Room_1,30.56,53.0,2588.79
2024-02-10,February,Room_1,29.84,53.32,2572.58
2024-02-11,February,Room_1,30.64,53.03,2578.79
2024-02-12,February,Room_1,30.52,53.28,2566.12
2024-02-13,February,Room_1,30.15,54.08,2604.62
2024-02-14,February,Room_1,30.47,53.08,2593.88
2024-02-15,February,Room_1,30.16,55.17,2569.25
2024-02-16,February,Room_1,30.05,53.35,2583.33
2024-02-17,February,Room_1,30.52,53.72,2558.38
2024-02-18,February,Room_1,30.27,54.44,2579.25
2024-02-19,February,Room_1,30.83,54.02,2577.0
2024-02-20,February,Room_1,29.96,53.05,2585.71
2024-02-21,February,Room_1,30.56,53.99,2591.75
2024-02-22,February,Room_1,30.23,54.57,2589.79
2024-02-23,February,Room_1,30.4,54.62,2589.96
2024-02-24,February,Room_1,30.32,53.97,2582.62
2024-02-25,February,Room_1,31.12,53.07,2572.17
2024-02-26,February,Room_1,31.43,53.72,2630.88
2024-02-27,February,Room_1,29.88,53.98,2561.17
2024-02-28,February,Room_1,30.01,53.89,2583.92
2024-02-29,February,Room_1,30.37,53.85,2603.62
2024-03-01,March,Room_1,30.18,47.88,2581.71
2024-03-02,March,Room_1,30.34,49.78,2593.58
2024-03-03,March,Room_1,30.19,49.86,2576.54
2024-03-04,March,Room_1,29.95,49.49,2599.88
2024-03-05,March,Room_1,29.8,49.17,2611.54
2024-03-06,March,Room_1,29.52,47.99,2588.75
2024-03-07,March,Room_1,30.09,48.35,2592.25
2024-03-08,March,Room_1,30.62,50.42,2557.71
2024-03-09,March,Room_1,30.12,50.23,2589.29
2024-03-10,March,Room_1,30.76,49.68,2608.12
2024-03-11,March,Room_1,30.6,48.09,2581.33
2024-03-12,March,Room_1,30.4,48.11,2615.0
2024-03-13,March,Room_1,30.23,49.08,2574.46
2024-03-14,March,Room_1,30.29,48.7,2585.96
2024-03-15,March,Room_1,30.76,49.12,2620.42
2024-03-16,March,Room_1,29.64,49.72,2610.83
2024-03-17,March,Room_1,30.94,49.3,2579.5
2024-03-18,March,Room_1,30.04,48.0,2559.46
2024-03-19,March,Room_1,30.45,48.31,2594.04
2024-03-20,March,Room_1,30.39,49.54,2585.75
2024-03-21,March,Room_1,29.78,48.47,2586.88
2024-03-22,March,Room_1,29.89,48.5,2611.33
2024-03-23,March,Room_1,30.34,47.45,2593.92
2024-03-24,March,Room_1,29.58,48.4,2597.29
2024-03-25,March,Room_1,30.54,48.28,2585.04
2024-03-26,March,Room_1,30.94,48.82,2592.96
2024-03-27,March,Room_1,29.9,49.45,2583.62
2024-03-28,March,Room_1,29.87,49.3,2590.0
2024-03-29,March,Room_1,30.16,48.75,2575.62
2024-03-30,March,Room_1,30.12,48.6,2585.92
2024-03-31,March,Room_1,30.74,49.81,2586.71
2024-04-01,April,Room_1,30.15,57.25,2598.42
2024-04-02,April,Room_1,30.25,57.33,2592.58
2024-04-03,April,Room_1,30.39,57.6,2595.38
2024-04-04,April,Room_1,30.01,58.25,2569.08
2024-04-05,April,Room_1,30.07,58.46,2589.38
2024-04-06,April,Room_1,29.48,57.41,2584.12
2024-04-07,April,Room_1,30.22,56.64,2579.67
2024-04-08,April,Room_1,29.9,56.26,2564.38
2024-04-09,April,Room_1,30.68,57.72,2581.79
2024-04-10,April,Room_1,30.12,57.79,2604.33
2024-04-11,April,Room_1,30.38,56.69,2584.62
2024-04-12,April,Room_1,29.58,57.8,2580.83
2024-04-13,April,Room_1,30.33,57.68,2589.46
2024-04-14,April,Room_1,30.44,57.13,2569.25
2024-04-15,April,Room_1,30.12,57.89,2575.29
2024-04-16,April,Room_1,30.01,57.48,2579.71
2024-04-17,April,Room_1,30.29,57.83,2585.71
2024-04-18,April,Room_1,29.12,57.52,2595.42
2024-04-19,April,Room_1,30.81,56.96,2610.75
2024-04-20,April,Room_1,30.67,56.06,2590.0
2024-04-21,April,Room_1,30.22,57.14,2587.71
2024-04-22,April,Room_1,30.16,57.52,2603.33
2024-04-23,April,Room_1,29.52,57.83,2577.58
2024-04-24,April,Room_1,30.55,57.6,2576.04
2024-04-25,April,Room_1,30.28,57.35,2565.54
2024-04-26,April,Room_1,30.07,58.02,2591.96
2024-04-27,April,Room_1,29.86,56.86,2588.08
2024-04-28,April,Room_1,30.5,58.25,2587.75
2024-04-29,April,Room_1,29.56,57.17,2623.46
2024-04-30,April,Room_1,29.94,57.09,2572.67
