Timestamp,Temperature (°C),Humidity (%),Moisture Level (%),Gas Level (PPM),Spoilage Risk
2025-03-03 14:55:44.193267,23.7,70.5,23.1,535.8,Risky
2025-03-03 15:55:44.193267,24.0,69.5,21.4,525.5,Safe
2025-03-03 16:55:44.193267,24.0,69.2,22.5,541.3,Safe
2025-03-03 17:55:44.193267,25.7,67.8,20.6,518.2,Risky
2025-03-03 18:55:44.193267,27.3,67.1,20.5,515.6,Risky
2025-03-03 19:55:44.193267,27.3,67.6,20.2,530.4,Risky
2025-03-03 20:55:44.193267,29.7,64.0,19.8,519.6,Risky
2025-03-03 21:55:44.193267,30.0,65.7,20.9,534.7,Risky
2025-03-03 22:55:44.193267,31.2,63.7,19.4,530.9,Risky
2025-03-03 23:55:44.193267,32.0,63.0,18.7,517.5,Risky
2025-03-04 00:55:44.193267,34.3,62.6,19.2,521.3,Risky
2025-03-04 01:55:44.193267,34.5,62.5,18.1,513.5,Risky
2025-03-04 02:55:44.193267,34.7,60.7,17.8,502.2,Risky
2025-03-04 03:55:44.193267,34.5,60.9,18.3,509.0,Risky
2025-03-04 04:55:44.193267,32.6,62.3,19.3,527.4,Risky
2025-03-04 05:55:44.193267,31.7,62.4,19.0,508.0,Risky
2025-03-04 06:55:44.193267,31.9,64.4,19.7,513.6,Risky
2025-03-04 07:55:44.193267,30.1,65.4,21.6,535.3,Risky
2025-03-04 08:55:44.193267,28.8,66.2,20.9,531.0,Risky
2025-03-04 09:55:44.193267,27.8,66.5,21.9,535.2,Risky
2025-03-04 10:55:44.193267,25.5,68.3,22.0,528.6,Risky
2025-03-04 11:55:44.193267,26.0,68.3,21.9,542.1,Risky
2025-03-04 12:55:44.193267,24.1,69.2,22.3,543.9,Safe
2025-03-04 13:55:44.193267,24.5,69.8,23.1,535.9,Safe
2025-03-04 14:55:44.193267,23.8,70.5,23.1,549.2,Risky
2025-03-04 15:55:44.193267,23.7,70.4,23.2,531.3,Risky
2025-03-04 16:55:44.193267,24.0,70.6,23.7,547.2,Risky
2025-03-04 17:55:44.193267,25.2,68.2,21.8,527.4,Risky
2025-03-04 18:55:44.193267,26.0,68.5,22.5,544.8,Risky
2025-03-04 19:55:44.193267,27.6,67.2,21.8,535.4,Risky
2025-03-04 20:55:44.193267,28.4,67.1,23.0,536.0,Risky
2025-03-04 21:55:44.193267,30.0,64.8,20.8,528.0,Risky
2025-03-04 22:55:44.193267,31.4,63.8,20.4,525.3,Risky
2025-03-04 23:55:44.193267,32.8,63.2,20.5,532.4,Risky
2025-03-05 00:55:44.193267,32.6,63.3,19.8,508.3,Risky
2025-03-05 01:55:44.193267,34.4,62.1,21.1,519.1,Risky
2025-03-05 02:55:44.193267,33.9,61.1,20.8,516.4,Risky
2025-03-05 03:55:44.193267,33.1,63.1,19.9,522.1,Risky
2025-03-05 04:55:44.193267,33.7,62.4,20.0,523.3,Risky
2025-03-05 05:55:44.193267,33.3,61.1,18.9,503.7,Risky
2025-03-05 06:55:44.193267,31.6,62.3,20.0,528.7,Risky
2025-03-05 07:55:44.193267,31.1,63.3,19.5,519.4,Risky
2025-03-05 08:55:44.193267,28.5,65.5,21.2,527.0,Risky
2025-03-05 09:55:44.193267,27.9,64.2,20.9,525.8,Risky
2025-03-05 10:55:44.193267,26.4,66.8,21.7,534.6,Risky
2025-03-05 11:55:44.193267,25.9,66.5,20.6,532.0,Risky
2025-03-05 12:55:44.193267,24.7,67.2,21.5,540.4,Safe
2025-03-05 13:55:44.193267,23.4,67.4,20.0,532.5,Safe
2025-03-05 14:55:44.193267,23.9,67.7,21.3,552.0,Safe
2025-03-05 15:55:44.193267,23.3,67.9,21.0,548.6,Safe
2025-03-05 16:55:44.193267,25.2,67.0,21.2,535.0,Risky
2025-03-05 17:55:44.193267,25.9,66.5,20.8,531.6,Risky
2025-03-05 18:55:44.193267,26.0,65.2,21.4,541.8,Risky
2025-03-05 19:55:44.193267,27.0,64.3,20.0,527.4,Risky
2025-03-05 20:55:44.193267,29.3,62.6,20.4,543.8,Risky
2025-03-05 21:55:44.193267,29.7,64.0,21.7,541.9,Risky
2025-03-05 22:55:44.193267,31.9,62.1,21.0,541.6,Risky
2025-03-05 23:55:44.193267,31.9,62.0,20.9,545.3,Risky
2025-03-06 00:55:44.193267,32.6,61.5,20.3,535.0,Risky
2025-03-06 01:55:44.193267,33.8,59.6,20.0,538.1,Risky
2025-03-06 02:55:44.193267,34.0,60.0,20.0,543.6,Risky
2025-03-06 03:55:44.193267,33.5,61.4,20.4,553.1,Risky
2025-03-06 04:55:44.193267,34.0,61.1,19.4,524.4,Risky
2025-03-06 05:55:44.193267,32.2,62.1,21.2,544.0,Risky
2025-03-06 06:55:44.193267,30.9,63.4,19.7,536.0,Risky
2025-03-06 07:55:44.193267,30.5,62.8,19.3,520.7,Risky
2025-03-06 08:55:44.193267,28.8,63.7,19.3,532.0,Risky
2025-03-06 09:55:44.193267,28.5,64.4,21.0,541.2,Risky
2025-03-06 10:55:44.193267,25.7,66.6,20.2,536.4,Risky
2025-03-06 11:55:44.193267,25.5,66.2,22.1,557.2,Risky
2025-03-06 12:55:44.193267,25.4,66.9,21.5,557.4,Risky
2025-03-06 13:55:44.193267,24.8,66.1,19.7,537.2,Safe
