Timestamp,Temperature (°C),Humidity (%),Moisture Level (%),Gas Level (PPM)
2025-03-06 08:00:00,24.2,68.7,23.1,525.4	
2025-03-06 09:00:00,24.5,68.0,21.8,521.0	
2025-03-06 10:00:00,24.4,68.7,21.3,526.7	
2025-03-06 11:00:00,25.1,71.8,22.1,531.3
2025-03-06 12:00:00,24.2,68.7,23.1,525.4	
2025-03-06 13:00:00,24.5,68.0,21.8,521.0	
2025-03-06 14:00:00,24.4,68.7,21.3,526.7	
2025-03-06 15:00:00,25.1,71.8,22.1,531.3
2025-03-06 16:00:00,24.2,68.7,23.1,525.4	
2025-03-06 17:00:00,24.5,68.0,21.8,521.0	
2025-03-06 18:00:00,24.4,68.7,21.3,526.7	
2025-03-06 19:00:00,25.1,71.8,22.1,531.3	
